rank_key,headphone,brand,model,variant,type,driver_type,driver_size_mm,impedance_ohms,sensitivity_db_mw,frequency_response_hz,weight_g,cable_detachable,connector,origin,msrp_usd,release_year,notes,source_url
adx5000,Audio-Technica ATH-ADX5000,Audio-Technica,ATH-ADX5000,,Open-air dynamic,Dynamic,58,420,100,"5-50,000 Hz",270,Yes,A2DC connectors + 6.3mm gold-plated stereo plug,Japan,2729,,"Core Mount Technology, Permendur magnetic circuit, tungsten-coated diaphragm, honeycomb housing",https://sea.audio-technica.com/reference-air-dynamic-open-back-headphones
aeolus,ZMF Aeolus,ZMF,Aeolus,,Open Planar Magnetic,Planar Magnetic,42,300,97,"15-25,000 Hz",445,Yes (detachable cable),4-pin XLR (balanced) + 6.3mm adapter,USA,1099,,"TPE membrane driver, lifetime driver warranty, includes ZMF braided cable and choice of pads",https://shop.zmfheadphones.com/products/aeolus
aeon 2 noire,Dan Clark Audio AEON 2 Noire,Dan Clark Audio,AEON 2 Noire,,Closed Planar Magnetic,Planar Magnetic,62,,,,328,Yes (detachable cable),"3.5mm mini stereo + 1/4\ adapter (optional 4-pin XLR)""",USA,899,,"TrueFlow V2, V-Planar driver processing, folding gimbal, carbon fiber/aluminum/titanium chassis",https://danclarkaudio.com/aeon-2-noir.html
aeon closed x,Drop + Dan Clark Audio Aeon Closed X,Dan Clark Audio,Aeon Closed X,,Closed Planar Magnetic,Planar Magnetic,62,12.5,91,,326,Yes (detachable cable),Hirose 4-pin + 3.5 mm / 6.35 mm adapter,USA,499,,"V-Planar drivers, NiTinol headband, includes DUMMER cable + tuning foam",https://drop.com/buy/drop-dan-clark-audio-aeon-closed-x-headphones
aeon open x,Drop + Dan Clark Audio Aeon Open X,Dan Clark Audio,Aeon Open X,,Open Planar Magnetic,Planar Magnetic,62,13,94,,326,Yes (detachable cable),Hirose 4-pin + 3.5mm / 6.35mm adapter,USA,529,,"V-Planar drivers, Drop-exclusive fenestrated pads, made in San Diego",https://drop.com/buy/drop-dan-clark-audio-aeon-open-x-headphones
aiva,Sendy Audio Aiva,Sendy Audio,Aiva,,Open Planar Magnetic,Planar Magnetic,97,32,96,"20-40,000 Hz",420,Yes (detachable cable),4.4 mm balanced + 3.5 mm adapter,China,599,,"Zebrawood earcups, protein leather/velvet pads, includes balanced cable & adapter",https://www.audiohum.com/gb/hi-fi-headphones/headphones/hi-fi-headphones/sendy-audio-aiva
amiron home,Beyerdynamic Amiron home,Beyerdynamic,Amiron home,,Open,Dynamic,,250,102,"5-40,000 Hz",340,Yes (detachable cable),Gold-plated mini stereo jack (3.5 mm) + 6.35 mm adapter,Germany,,,"Tesla drivers, Microvelours ear pads, double-sided detachable cable; Made in Germany",https://north-america.beyerdynamic.com/p/amiron-home
ananda nano,HIFIMAN Ananda Nano,HIFIMAN,Ananda Nano,,Open Planar Magnetic,Planar Magnetic,,14,94,"5-55,000 Hz",419.6,Yes,Dual 3.5mm connectors (includes 6.35mm adapter),China,499,2023,"Nanometer-Thickness diaphragm, Stealth magnets, detachable dual cables",https://www.hifiman.com/products/detail/334
ananda stealth,HIFIMAN Ananda Stealth,HIFIMAN,Ananda Stealth,,Open Planar Magnetic,Planar Magnetic,,16,93,"8-55,000 Hz",399,Yes,Dual 3.5mm connectors + 6.35mm adapter,China,699,,"NsD supernano diaphragm, Stealth magnets, includes 1.5m 3.5mm cable + 3m 6.35mm cable",https://www.headamp.com/products/hifiman-ananda
aperio,Warwick Acoustics Aperio,Warwick Acoustics,Aperio,,Open Electrostatic,Electrostatic,,,,"10-60,000 Hz",405,Yes,Polarized 4-pin self-latching connectors,UK,24000,,"BD-HPEL electrostatic transducer, Cabretta sheepskin cushions, pairs with Aperio electronics (dual 32-bit DACs)",https://www.audioemotion.co.uk/warwick-acoustics-aperio-reference-headphone-system-32898-p.asp
arya,HIFIMAN Arya,HIFIMAN,Arya,,Open Planar Magnetic,Planar Magnetic,,35,90,"8-65,000 Hz",404,Yes,Dual 3.5mm,China,1299,,,https://www.hifiman.com/products/detail/297
arya organic,HIFIMAN Arya Organic,HIFIMAN,Arya Organic,,Open Planar Magnetic,Planar Magnetic,,16,94,"8-65,000 Hz",440,Yes,Dual 3.5mm,China,1299,,,https://www.headamp.com/products/hifiman-arya-organic
athena,HarmonicDyne Athena,HarmonicDyne,Athena,,Semi-closed Dynamic,Dynamic,50,34,,"10-70,000 Hz",320,Yes,Dual 3.5mm; cable 3.5mm + 6.35mm adapter,,179,,Sensitivity listed as 116.5 dB/Vrms @ 1 kHz; THD 0.2% @ 1 kHz 100 dB SPL; metal-ceramic composite driver,https://blog.ear-phone-review.com/entry/news/HarmonicDyne_Athena
atrium,ZMF Atrium,ZMF,Atrium,,Open Dynamic,Dynamic,,300,96,,490,Yes,,USA,2499,,Biocellulose N52 Atrium Tuned Driver; Lifetime driver warranty (per ZMF listing),https://shop.zmfheadphones.com/products/atrium
atrium closed,ZMF Atrium Closed,ZMF,Atrium Closed,,Closed Dynamic,Dynamic,,300,96,,490,Yes,,USA,2499,,Biocellulose N52 Atrium Tuned Driver; Stock wood Canarywood (per ZMF listing),https://shop.zmfheadphones.com/products/atrium-closed
audeze mm 500,Audeze MM-500,Audeze,MM-500,,Open Planar Magnetic,Planar Magnetic,90,18,100,"5-50,000 Hz",495,,,,,,Fluxor magnet array; Fazor; Ultra-Thin Uniforce diaphragm,https://www.audeze.com/products/mm-500
audivina,HIFIMAN Audivina,HIFIMAN,Audivina,,Closed Planar Magnetic,Planar Magnetic,,20,97,"5-55,000 Hz",470,,,China,,,,https://www.hifiman.cn/products/detail/301
auteur,ZMF Auteur Classic,ZMF,Auteur,Classic,Open Dynamic,Dynamic,,300,96,,490,Yes,,USA,1499,,Biocellulose driver; Lifetime driver warranty (per ZMF listing),https://shop.zmfheadphones.com/products/auteur_classic
beats pro,Beats Pro,Beats,Pro,,Closed Dynamic,Dynamic,,,,,400,Yes,Dual 3.5mm; cable 3.5mm,,,,Specs sourced from B&H listing; impedance/sensitivity not provided there.,https://www.bhphotovideo.com/c/product/795582-REG/Beats_by_Dr_Dre_900_00003_01_Beats_By_Dr_Dre.html
bravura,Warwick Acoustics Bravura,Warwick Acoustics,Bravura,,Open Electrostatic,Electrostatic,,,,"10-90,000 Hz",290,,LEMO (dual-pin),,,2021,Max output level 100 dB SPL @ 1 kHz (per user manual).,https://assets.ctfassets.net/9ddpwm2ucrxr/5b4lbM9tRXuaLdQBkQL6sH/045933d018f3a571dcb4cfdf92c563da/BRAVURA_USER_MANUAL_Published_July_2021.pdf
ca 1a,RAAL-requisite CA-1a,RAAL-requisite,CA-1a,,Ribbon,Ribbon,,,,,,,4-pin XLR (via TI-1b interface),,,,System impedance (with transformer) 16 or 32 ohms; raw driver approx 0.2 ohms; requires TI-1b transformer interface.,https://www.moon-audio.com/products/raal-ca-1a-headphones
caldera,ZMF Caldera,ZMF,Caldera,,Open Planar Magnetic,Planar Magnetic,80,60,95,,,Yes,,USA,3499,,Weight listed as 490-550 g on ZMF page; planar magnetic driver.,https://shop.zmfheadphones.com/products/caldera
cd900st,Sony MDR-CD900ST,Sony,MDR-CD900ST,,Closed Dynamic,Dynamic,40,63,106,"5-30,000 Hz",200,No,Standard stereo plug,,,,,https://www.ikebe-gakki.com/en/products/51039
celestee,Focal Celestee,Focal,Celestee,,Closed Dynamic,Dynamic,40,35,,"5-23,000 Hz",430,Yes,3.5mm and 6.35mm,France,,,Aluminum/Magnesium M-shaped dome; THD 0.1% @ 1kHz/100dB SPL; includes 1.2m 3.5mm cable and 3m 6.35mm cable.,https://www.focal.com/products/celestee
clasic,Meze 99 Classics,Meze,99 Classics,,Closed Dynamic,Dynamic,40,32,103,"15-25,000 Hz",260,Yes,Dual 3.5 mm TS Jack,,,,Max input power 50 mW; rated input power 30 mW; THD <0.1% @ 1 kHz; ear cups walnut wood.,https://mezeaudio.com/pages/99-classics
clear,Focal Clear,Focal,Clear,,Open Dynamic,Dynamic,40,55,104,"5-28,000 Hz",450,Yes,4-pin XLR / 6.35mm / 3.5mm,France,,,"Includes 4-pin XLR balanced cable, 6.35mm cable, 3.5mm cable + adapter.",https://dam.focal-naim.com/m/b76a115af3c9428/original/FP_Clear_GB-pdf.pdf
clear mg,Focal Clear Mg,Focal,Clear Mg,,Open Dynamic,Dynamic,40,55,104,"5-23,000 Hz",450,Yes,4-pin XLR / 3.5mm (adapter to 6.35mm),France,,,Magnesium M-shaped dome; includes cables + adapter (per Focal page).,https://www.focal.com/products/clear-mg
composer,Austrian Audio The Composer,Austrian Audio,The Composer,,Open Dynamic,Dynamic,49,22,,"20-40,000 Hz",385,Yes,Banana Jack; 3.5mm (adapter to 6.3mm included),,2,,Sensitivity listed as 115 dB SPL/V; THD <0.1% @ 1kHz; detachable 2x3m cables.,https://austrian.audio/product/thecomposer/
corina,Dan Clark Audio CORINA,Dan Clark Audio,CORINA,,Open Electrostatic,Electrostatic,88,,,,465,,,USA,,,Electrostatic; capacitance 135 pF (with 2m cable); AMTS; frequency response listed as flat to 6 Hz.,https://danclarkaudio.com/corina.html
crbn,Audeze CRBN,Audeze,CRBN,,Open Electrostatic,Electrostatic,,,,"10-40,000 Hz",470,,,,,,"Impedance listed as 100 kOhms; sensitivity >120 dB @ 1kHz, 100 Vrms; requires electrostatic energizer.",https://www.audeze.com/products/crbn-electrostatic-headphones
d5200,Denon AH-D5200,Denon,AH-D5200,,Closed Dynamic,Dynamic,50,24,103,"5-40,000 Hz",385,,3.5mm (source) to dual 3.5mm (headphone); 6.3mm adapter,,,,Cable length 3.0 m.,https://www.av.com/Headphones/Denon-AH-D5200-Reference-Quality-Over-Ear-Headphones/4EZO
d7200,Denon AH-D7200,Denon,AH-D7200,,Closed Dynamic,Dynamic,50,25,105,"5-55,000 Hz",385,,"6.3mm (source), dual 3.5mm (headphone)",,,,Cable length 3.0 m.,https://www.av.com/Headphones/Denon-AH-D7200-Reference-Quality-Over-Ear-Headphones/4DAM
d9200,Denon AH-D9200,Denon,AH-D9200,,Closed Dynamic,Dynamic,50,24,105,"5-56,000 Hz",375,,3.0 m cable with 6.3mm plug + 2x 3.5mm (headphone); 1.3 m cable with 3.5mm plug + 2x 3.5mm (headphone); 3.5mm to 6.3mm adapter,,,,"Driver type: Nanofiber FreeEdge (from info sheet). Max power input 1,800 mW.",https://www.denon.com/on/demandware.static/-/Library-Sites-denon_northamerica_shared/default/dw6e821f92/downloads/ah-d9200-info-sheet-en.pdf
d8000 pro,final D8000 Pro Edition,final,D8000,Pro Edition,Open Planar Magnetic,Planar Magnetic,,60,98,,523,,3.5mm (1.5 m cable) / 6.3mm (3 m cable) (per included cables),,,,"Driver: AFDS planar magnetic (labelled ""AFDS Planer Magnetic"" on source page).",https://snext-final.com/en/products/detail/D8000pro
dca expanse,Dan Clark Audio EXPANSE,Dan Clark Audio,EXPANSE,,Open Planar Magnetic,Planar Magnetic,,,,"20-20,000 Hz",418,,,,,,Driver size: 76mm x 51mm single-ended planar magnetic (not a single diameter). THD and driver matching in raw file.,https://www.headamp.com/products/dan-clark-expanse
dt 770,Beyerdynamic DT 770 PRO,Beyerdynamic,DT 770 PRO,80 Ohm,Closed Dynamic,Dynamic,,80,96,"5-35,000 Hz",345,No,3.5mm gold-plated mini stereo jack + 6.35mm adapter,,,,"Also available: 32 Ohm (1.6 m straight cable, 325 g, approx. 20 dBA isolation, order # 483.664) and 250 Ohm (3 m coiled cable, 380 g, order # 459.046); Headband pressure approx. 3.5 N; Power handling 100 mW; THD < 0.2%.",https://global.beyerdynamic.com/api/download/5c0bbf2e8cf2d6aa19e98cde4ab32122/pdf/dt-770-pro-dynamic-headphones-datasheet-en.pdf
dt 700 pro x,Beyerdynamic DT 700 PRO X,Beyerdynamic,DT 700 PRO X,,Closed Dynamic,Dynamic,,48,100,"5-40,000 Hz",350,Yes (3-pin mini XLR),3.5mm (6.35mm adapter),Germany,,,Nominal SPL: 100 dB SPL (1 mW/500 Hz); 114 dB SPL (1 V/500 Hz); Ambient noise attenuation: 20 dB A; Headband pressure: 5.3 N; Max input power: 100 mW short term; THD: 0.40% @ 100 Hz; 0.05% @ 500 Hz; 0.04% @ 1 kHz,https://www.beyerdynamic.com.au/products/beyerdynamic-dt-700-pro-x
dt 880,beyerdynamic DT 880 PRO,beyerdynamic,DT 880 PRO,,Semi-Open Dynamic,Dynamic,,250,96,"5-35,000 Hz",295,,3.5mm stereo jack + 6.35mm adapter,Germany,,,Cable: coiled 3.0 m (wired).,https://north-america.beyerdynamic.com/dt-880-pro.html
dt 900 pro x,beyerdynamic DT 900 PRO X,beyerdynamic,DT 900 PRO X,,Open Dynamic,Dynamic,,48,100,"5-40,000 Hz",345,Yes,Detachable mini-XLR cable; 3.5mm jack + 6.35mm adapter,Germany,,,Nominal SPL listed as 100 dB SPL (1 mW / 500 Hz).,https://north-america.beyerdynamic.com/dt-900-pro-x.html
dt 990,beyerdynamic DT 990 PRO,beyerdynamic,DT 990 PRO,,Open Dynamic,Dynamic,,,96,"5-35,000 Hz",250,,3.5mm stereo jack + 6.35mm adapter,Germany,,,Nominal impedance depends on version: 80 ohms (straight cable) or 250 ohms (coiled cable).,https://north-america.beyerdynamic.com/dt-990-pro.html
dt1770,beyerdynamic DT 1770 PRO,beyerdynamic,DT 1770 PRO,,Closed Dynamic,Dynamic,45,250,102,"5-40,000 Hz",388,Yes,Detachable cable; 6.35mm stereo jack plug; 3 m straight + 5 m coiled cable,Germany,,,Driver: Tesla dynamic; 45 mm (from beyerdynamic technical data). Nominal SPL listed as 102 dB SPL (1 mW / 500 Hz).,https://north-america.beyerdynamic.com/dt-1770-pro.html
edition 15,Ultrasone Edition 15 Limited,Ultrasone,Edition 15,Limited,Open Dynamic,Dynamic,40,40,94,"5-48,000 Hz",320,Yes,LEMO connector / 3.5mm jack (includes 6.3mm adapter),,,,Spec source is a retailer page (manufacturer spec page not found quickly).,https://muzix.eu/en/product/ultrasone-edition-15-limited/
dca stealth,Dan Clark Audio STEALTH,Dan Clark Audio,STEALTH,,Closed Planar Magnetic,Planar Magnetic,,23,87,,415,Yes,"4-pin Hirose (headphone); cable options: 6.35mm, 4-pin XLR, 4.4mm, 2.5mm",,3999,,Spec source is a review/spec roundup; driver is 76 x 51 mm diaphragm (not a single diameter).,https://positive-feedback.com/reviews/hardware-reviews/dan-clark-audio-stealth-headphones/
dianatcbronze,ABYSS Diana TC (Dark Bronze),ABYSS,Diana TC,Dark Bronze,Open Planar Magnetic,Planar Magnetic,63,69,90,"5-50,000 Hz",340,Yes,Dual 3.5 mm mono jacks (headphone),,,,Abyss site lists this model as retired.,https://abyss-headphones.com/pages/en-tw/products/abyss-diana-tc-high-performance-headphone-custom
dt 1990,beyerdynamic DT 1990 PRO,beyerdynamic,DT 1990 PRO,,Open Dynamic,Dynamic,45,250,102,"5-40,000 Hz",370,Yes,3.5mm stereo jack + 6.35mm adapter (3 m coiled cable; 3-pin XLR on headphone side),Germany,,,Specs from beyerdynamic B-stock product page (DT 1990 PRO).,https://www.beyerdynamic.com/p/b-stock-dt-1990-pro
el8c,Audeze EL-8 Closed Back,Audeze,EL-8,Closed Back,Closed Planar Magnetic,Planar Magnetic,100,30,98,10Hz - 50kHz,540,,,,,,Magnetic structure: Fluxor; Phase management: Fazor; Diaphragm: Ultra-Thin Uniforce; Maximum power handling: 3W RMS; Maximum SPL: >130 dB; THD: <0.1% @ 100dB; Efficiency: 98 dB/1mW at drum reference point,https://www.audeze.com/products/el-8-closed-back
elite,Meze ELITE,Meze,ELITE,,Open Planar Magnetic,Planar Magnetic,,32,101,"3-112,000 Hz",433,Yes,Dual 4-pin mini XLR,,,,Sensitivity listed as 101 dB SPL/mW at 1 kHz.,https://mezeaudio.com/pages/elite
empyrean,Meze Empyrean,Meze,Empyrean,,Open Planar Magnetic,Planar Magnetic,,31.6,100.4,"8-110,000 Hz",430,,,,,,Sensitivity listed as 100.4 dB/mW at 1 kHz.,https://mezeaudio.com/products/empyrean
empyrean 2,Meze Empyrean II,Meze,Empyrean II,,Open Planar Magnetic,Planar Magnetic,,30,105,"8-110,000 Hz",385,,,,,,Sensitivity listed as 105 dB/mW at 1 kHz.,https://mezeaudio.com/products/empyrean-ii
ether 2,Dan Clark Audio ETHER 2,Dan Clark Audio,ETHER 2,,Open Planar Magnetic,Planar Magnetic,,16,92,"10-45,000 Hz",290,,,,,,From Dan Clark Audio archive page.,https://danclarkaudio.com/ether-2.html
ether c,Dan Clark Audio ETHER C,Dan Clark Audio,ETHER C,,Closed Planar Magnetic,Planar Magnetic,,23,92,"10-45,000 Hz",385,,,,,,From Dan Clark Audio archive page.,https://danclarkaudio.com/ether-c.html
elegia,Focal Elegia,Focal,Elegia,,Closed Dynamic,Dynamic,40,35,105,5 Hz - 23 kHz,430,Detachable,3.5mm TRS plug (cable) + 6.35mm adapter,France,890,,"Driver: 40mm Aluminum/Magnesium \M\""-shaped dome; THD: 0.3% @ 1kHz / 100dB SPL; Carry case: 260 x 240 x 105mm""",https://www.focalnaimaudio.com/products/elegia
edition xs,HIFIMAN Edition XS,HIFIMAN,Edition XS,,Open Planar Magnetic,Planar Magnetic,,18,92,"8-50,000 Hz",405,Yes,Dual 3.5mm (headphone); 3.5mm plug + 6.35mm adapter (included),,,,Spec source is HeadAmp retailer page.,https://www.headamp.com/products/hifiman-edition-xs
elear,Focal Elear,Focal,Elear,,Open Dynamic,Dynamic,40,80,104,"5-23,000 Hz",450,,6.35mm stereo jack; 2 x 3.5mm (cup side),France,,,THD <0.3% @ 1kHz / 100 dB SPL; cable length 3 m (retailer spec).,https://headphone.shop/product/focal-elear/
elex,Drop + Focal Elex,Drop / Focal,Elex,,Open Dynamic,Dynamic,40,80,104,"5-23,000 Hz",450,,6.35mm (SE cable) / 4-pin XLR (balanced cable),France,,,Collab model; THD <0.3% @ 1kHz / 100 dB SPL; cable length 1.8 m (Drop).,https://drop.com/buy/massdrop-x-focal-elex-headphones
ether c flow,Dan Clark Audio ETHER C Flow 1.1,Dan Clark Audio,ETHER C Flow,1.1,Closed Planar Magnetic,Planar Magnetic,,23,90,,430,Yes,,,,,Driver size 71 x 45 mm (not a single diameter). Spec source is HeadAmp retailer page.,https://www.headamp.com/products/dan-clark-ether-c-flow
focal radiance,Focal Radiance,Focal,Radiance,,Closed Dynamic,Dynamic,40,35,101,"5-23,000 Hz",435,Detachable,3.5mm TRS (includes 6.35mm adapter); 3.5mm TRS w/ mic remote,France,1290,,Includes 1.2 m cable w/ mic+remote and 3 m cable; carry case 24 x 21 x 7 cm.,https://www.focalnaimaudio.com/products/focal-radiance
grade hemp,Grado Hemp Headphone,Grado,Hemp Headphone,,Open Dynamic,Dynamic,,38,99.8,"13-28,000 Hz",,No,"6.35mm (1/4"") plug",,,,Cable: 18 ft 4-conductor (from Grado specs page).,https://gradolabs.com/products/hemp-headphone
gl2000,Gold Planar GL2000,Gold Planar,GL2000,,Open Planar Magnetic,Planar Magnetic,100,60,99,"6-50,000 Hz",530,Yes,4-pin mini XLR (headphone); 3.5mm termination (per retailer),,,,Spec source is Linsoul retailer page; driver listed as 100mm double-sided planar magnetic.,https://www.linsoul.com/products/goldplanar-gl2000
gl850,Gold Planar GL850,Gold Planar,GL850,,Open Planar Magnetic,Planar Magnetic,,45,100,"6-50,000 Hz",530,,3.5mm (per retailer),,,,Spec source is Audio46 retailer page.,https://audio46.com/products/gold-planar-gl850-headphones
g200,HarmonicDyne G200,HarmonicDyne,G200,,Open Planar Magnetic,Planar Magnetic,102,64,,"10-45,000 Hz",480,,Balanced XLR cable (2 m); adapters to 6.35mm and 4.4mm,,,,Specs from Drop listing; sensitivity listed as 100 dB (unit not specified as dB/mW).,https://drop.com/buy/harmonicdyne-g200-headphones
h2plus,TAKET H2+,TAKET,H2+,,Open Piezoelectric,Piezoelectric,,4000,,"10-100,000+ Hz",320,,Gold-plated 4-pin male XLR,Japan,,,Polymer piezoelectric Heil type drive; external BP (super-tweeter). Impedance is approx. 4 kOhm or more (not typical headphone load).,https://taket.jp/japanese/h2/h2.html
hd 560s,Sennheiser HD 560S,Sennheiser,HD 560S,,Open Dynamic,Dynamic,,120,,"6-38,000 Hz",240,,,,,,Sensitivity on source is 110 dB (1 kHz / 1 Vrms) (not dB/mW).,https://www.soundguys.com/sennheiser-hd-560s-review-33065/
hd 580,Sennheiser HD 580 Precision,Sennheiser,HD 580,Precision,Open Dynamic,Dynamic,,300,97,"12-38,500 Hz",,,,,,,Specs from Headphonesty review.,https://www.headphonesty.com/2020/08/review-sennheiser-hd-580-precision/
hd 600,Sennheiser HD 600,Sennheiser,HD 600,,Open Dynamic,Dynamic,42,300,97,"12-40,000 Hz",260,Yes,"1/4"" plug (3.5mm adapter)",,,,Specs from Sweetwater listing.,https://www.sweetwater.com/store/detail/HD600--sennheiser-hd-600-open-back-audiophile-and-reference-headphones
hd 650,Sennheiser HD 650,Sennheiser,HD 650,,Open Dynamic,Dynamic,,300,,"10-41,000 Hz",260,,,,,,Sensitivity on source is 103 dB (1 kHz / 1 Vrms) (not dB/mW).,https://www.soundguys.com/sennheiser-hd-650-review-34128/
hd 660 s2,Sennheiser HD 660S2,Sennheiser,HD 660S2,,Open Dynamic,Dynamic,,300,,"8-41,500 Hz",260,,,,,,Sensitivity on source is 104 dB (1 kHz / 1 Vrms) (not dB/mW).,https://www.soundguys.com/sennheiser-hd-660s2-review-87217/
hd 660s,Sennheiser HD 660S,Sennheiser,HD 660S,,Open Dynamic,Dynamic,,150,,"10-41,000 Hz",260,,,,,,Sensitivity on source is 104 dB (1 kHz / 1 Vrms) (not dB/mW).,https://www.soundguys.com/sennheiser-hd-660s-review-23719/
hd 700,Sennheiser HD 700,Sennheiser,HD 700,,Open Dynamic,Dynamic,,150,,"10-39,500 Hz",270,,,,,,Sensitivity on source is 105 dB (1 kHz / 1 Vrms) (not dB/mW).,https://www.soundguys.com/sennheiser-hd-700-review-36931/
hd 800 s,Sennheiser HD 800 S,Sennheiser,HD 800 S,,Open Dynamic,Dynamic,,300,,"4-51,000 Hz",330,,,,,,Sensitivity on source is 103 dB (1 kHz / 1 Vrms) (not dB/mW).,https://www.soundguys.com/sennheiser-hd-800-s-review-26717/
hd 820,Sennheiser HD 820,Sennheiser,HD 820,,Closed Dynamic,Dynamic,,300,,"6-48,000 Hz",360,,,,,,Sensitivity on source is 103 dB (1 kHz / 1 Vrms) (not dB/mW).,https://www.soundguys.com/sennheiser-hd-820-review-21892/
